Issue Key,Issue Type,Summary,Status,Assignee,Priority,Story Points,Sprint,Sprint Start,Sprint End,In Progress Date,Done Date,Created Date,Epic Link,Parent Key,Fix Version/s,Labels,Blocked Flag
DC-11,Task,Email format validation and error messages,Done,Sara Ahmed,Medium,2,Sprint 2,15/Jan/2025,28/Jan/2025,17/Jan/2025,24/Jan/2025,15/Jan/2025,DC-1,DC-10,v1.0,auth frontend,
DC-12,Story,Sprint analytics throughput panel,Done,Sara Ahmed,High,8,Sprint 2,15/Jan/2025,28/Jan/2025,16/Jan/2025,27/Jan/2025,15/Jan/2025,DC-2,,v1.0,dashboard analytics,
DC-13,Task,Sprint throughput calculation service,Done,Ahmed Nasser,High,5,Sprint 2,15/Jan/2025,28/Jan/2025,16/Jan/2025,26/Jan/2025,15/Jan/2025,DC-2,DC-12,v1.0,dashboard backend,
DC-14,Story,Data quality score after upload,Done,Ahmed Nasser,High,8,Sprint 2,15/Jan/2025,28/Jan/2025,17/Jan/2025,28/Jan/2025,15/Jan/2025,DC-3,,v1.0,export quality,
DC-15,Bug,Field validation fails for non-ASCII characters,Done,Ali Abu Ras,High,3,Sprint 2,15/Jan/2025,28/Jan/2025,19/Jan/2025,27/Jan/2025,18/Jan/2025,DC-3,,v1.0,bug export,
DC-16,Story,CSV and Excel export with 17 statistical sheets,Done,Ahmed Nasser,High,13,Sprint 3,01/Feb/2025,14/Feb/2025,02/Feb/2025,13/Feb/2025,01/Feb/2025,DC-3,,v1.0,export excel,
DC-17,Task,Executive summary sheet with recommendation engine,Done,Ahmed Nasser,High,8,Sprint 3,01/Feb/2025,14/Feb/2025,02/Feb/2025,12/Feb/2025,01/Feb/2025,DC-3,DC-16,v1.0,export backend,
DC-18,Story,Work Item Explorer with React Flow hierarchy graph,Done,Sara Ahmed,High,13,Sprint 3,01/Feb/2025,14/Feb/2025,02/Feb/2025,14/Feb/2025,01/Feb/2025,DC-2,,v1.0,dashboard explorer,
DC-19,Task,Hierarchy reconstruction multi-signal service,Done,Sara Ahmed,High,8,Sprint 3,01/Feb/2025,14/Feb/2025,03/Feb/2025,13/Feb/2025,01/Feb/2025,DC-2,DC-18,v1.0,dashboard backend,
DC-20,Bug,Export formatting broken for Unicode filenames,Done,Ahmed Nasser,Medium,3,Sprint 3,01/Feb/2025,14/Feb/2025,05/Feb/2025,11/Feb/2025,04/Feb/2025,DC-3,,v1.0,bug export,
DC-21,Task,Performance optimisation for 3000+ issue exports,Done,Ali Abu Ras,Medium,5,Sprint 3,01/Feb/2025,14/Feb/2025,06/Feb/2025,14/Feb/2025,01/Feb/2025,DC-2,,v1.0,dashboard backend,
DC-22,Story,Advanced filter presets and saved views,In Progress,Sara Ahmed,High,8,Sprint 4,15/Feb/2025,28/Feb/2025,16/Feb/2025,,15/Feb/2025,DC-2,,v2.0,dashboard ui,
DC-23,Task,Filter state persistence in localStorage,In Progress,Sara Ahmed,Medium,3,Sprint 4,15/Feb/2025,28/Feb/2025,17/Feb/2025,,15/Feb/2025,DC-2,DC-22,v2.0,dashboard frontend,
DC-24,Story,Kanban flow analytics with WIP and aging detection,In Progress,Ahmed Nasser,High,8,Sprint 4,15/Feb/2025,28/Feb/2025,16/Feb/2025,,15/Feb/2025,DC-2,,v2.0,dashboard analytics,true
DC-25,Task,Flow efficiency calculation (cycle time over lead time),To Do,Ahmed Nasser,High,5,Sprint 4,15/Feb/2025,28/Feb/2025,,,15/Feb/2025,DC-2,DC-24,v2.0,dashboard backend,
DC-26,Story,User profile page with import history,Code Review,Ali Abu Ras,Medium,5,Sprint 4,15/Feb/2025,28/Feb/2025,18/Feb/2025,,15/Feb/2025,DC-1,,v2.0,auth frontend,
DC-27,Task,Profile settings and avatar initial display,To Do,Ali Abu Ras,Low,3,Sprint 4,15/Feb/2025,28/Feb/2025,,,15/Feb/2025,DC-1,DC-26,v2.0,auth frontend,
DC-28,Story,Admin dashboard with all-user import logs,To Do,Ali Abu Ras,Medium,8,Sprint 4,15/Feb/2025,28/Feb/2025,,,15/Feb/2025,DC-1,,v2.0,auth admin,
DC-29,Task,Audit event log viewer for admin users,To Do,Sara Ahmed,Low,3,Sprint 4,15/Feb/2025,28/Feb/2025,,,15/Feb/2025,DC-1,DC-28,v2.0,auth admin,
DC-30,Task,Dark mode toggle with system preference detection,Done,Sara Ahmed,Low,3,,,,20/Jan/2025,05/Feb/2025,15/Jan/2025,DC-2,,,ui theme,
DC-31,Story,Mobile responsive layout for explore page,In Progress,Ahmed Nasser,Medium,5,,,,10/Feb/2025,,08/Feb/2025,DC-2,,,ui mobile,
DC-32,Task,Accessibility audit and ARIA labels,To Do,Ali Abu Ras,Low,3,,,,,,20/Jan/2025,DC-2,,,ui accessibility,
DC-33,Spike,Performance profiling for 5000+ issue exports,Done,Ahmed Nasser,Medium,2,,,,12/Feb/2025,18/Feb/2025,10/Feb/2025,DC-3,,,performance,
DC-34,Task,Update API rate limiting documentation,To Do,Unassigned,Low,2,Sprint 4,15/Feb/2025,28/Feb/2025,,,15/Feb/2025,,,v2.0,docs,
DC-35,Bug,Health score shows NaN when all issues are orphans,Open,Unassigned,High,0,,,,,,20/Feb/2025,,,,bug quality,
